time_bucket,North,South,East,West,hour,day_of_week,target_North,target_South,target_East,target_West
4320,3,4,3,2,1,0,3.0,3.0,3.0,2.0
4380,1,2,3,2,1,0,2.0,2.0,3.0,2.0
4440,3,3,2,1,1,0,3.0,3.0,3.0,2.0
4500,4,4,4,3,1,0,4.0,2.0,2.0,3.0
4560,2,2,2,2,1,0,2.0,2.0,3.0,3.0
4620,3,3,3,3,1,0,3.0,3.0,3.0,2.0
4680,4,3,3,4,1,0,2.0,4.0,2.0,3.0
4740,2,1,2,2,1,0,1.0,3.0,3.0,3.0
4800,2,3,3,4,1,0,2.0,3.0,2.0,3.0
4860,4,4,4,3,1,0,2.0,4.0,2.0,2.0
4920,2,2,2,2,1,0,3.0,2.0,3.0,4.0
4980,4,3,3,3,1,0,4.0,4.0,3.0,4.0
5040,5,4,4,4,1,0,3.0,2.0,2.0,2.0
5100,3,2,2,2,1,0,2.0,2.0,3.0,4.0
5160,3,2,2,4,1,0,4.0,4.0,4.0,3.0
5220,4,4,2,4,1,0,3.0,2.0,2.0,2.0
5280,3,2,2,2,1,0,3.0,2.0,3.0,3.0
5340,2,2,3,2,1,0,4.0,3.0,4.0,3.0
5400,4,5,3,4,1,0,3.0,3.0,2.0,2.0
5460,3,3,3,3,1,0,3.0,3.0,3.0,3.0
5520,2,3,0,3,1,0,3.0,3.0,3.0,2.0
5580,4,4,4,4,1,0,3.0,3.0,2.0,2.0
5640,2,2,3,3,1,0,4.0,3.0,4.0,4.0
5700,2,2,1,2,1,0,3.0,3.0,3.0,3.0
5760,3,3,2,3,1,0,3.0,3.0,1.0,3.0
5820,3,3,3,2,1,0,2.0,3.0,4.0,4.0
5880,3,2,3,2,1,0,3.0,3.0,3.0,1.0
5940,5,4,2,2,1,0,4.0,3.0,2.0,2.0
6000,3,2,3,3,1,0,2.0,3.0,4.0,4.0
6060,3,2,2,3,1,0,3.0,3.0,3.0,3.0
6120,3,3,3,2,1,0,3.0,3.0,1.0,1.0
6180,2,2,3,2,1,0,1.0,3.0,3.0,3.0
6240,3,3,3,2,1,0,3.0,3.0,2.0,2.0
6300,4,2,2,3,1,0,4.0,3.0,3.0,3.0
6360,2,2,3,3,1,0,2.0,3.0,4.0,3.0
6420,3,3,3,2,1,0,4.0,3.0,3.0,2.0
6480,2,4,2,3,1,0,4.0,3.0,3.0,3.0
6540,1,3,3,3,1,0,3.0,3.0,3.0,3.0
6600,2,3,2,3,1,0,3.0,3.0,2.0,2.0
6660,2,4,2,2,1,0,3.0,4.0,3.0,3.0
6720,3,2,3,4,1,0,2.0,3.0,3.0,3.0
6780,4,4,3,4,1,0,4.0,3.0,3.0,3.0
6840,3,2,2,2,1,0,4.0,3.0,3.0,3.0
6900,2,2,3,4,1,0,3.0,1.0,3.0,3.0
6960,4,4,4,3,1,0,4.0,3.0,3.0,3.0
7020,3,2,2,2,1,0,4.0,3.0,3.0,2.0
7080,3,2,3,3,1,0,2.0,3.0,2.0,2.0
7140,4,3,4,3,1,0,4.0,3.0,3.0,2.0
7200,3,3,2,2,2,0,5.0,4.0,3.0,3.0
7260,3,3,3,3,2,0,2.0,2.0,3.0,2.0
7320,3,3,3,2,2,0,3.0,3.0,4.0,3.0
7380,3,3,2,2,2,0,5.0,5.0,2.0,4.0
7440,4,3,4,4,2,0,3.0,3.0,3.0,3.0
7500,3,3,3,3,2,0,4.0,3.0,2.0,3.0
7560,3,3,1,3,2,0,4.0,3.0,3.0,2.0
7620,2,3,4,4,2,0,3.0,3.0,3.0,3.0
7680,3,3,3,1,2,0,3.0,3.0,2.0,3.0
7740,4,3,2,2,2,0,4.0,4.0,3.0,3.0
7800,2,3,4,4,2,0,2.0,3.0,3.0,3.0
7860,3,3,3,3,2,0,3.0,3.0,3.0,3.0
7920,3,3,1,1,2,0,3.0,3.0,4.0,4.0
7980,1,3,3,3,2,0,3.0,2.0,2.0,3.0
8040,3,3,2,2,2,0,3.0,4.0,3.0,3.0
8100,4,3,3,3,2,0,3.0,3.0,2.0,3.0
8160,2,3,4,3,2,0,3.0,3.0,3.0,3.0
8220,4,3,3,2,2,0,3.0,3.0,2.0,2.0
8280,4,3,3,3,2,0,3.0,3.0,2.0,3.0
8340,3,3,3,3,2,0,3.0,2.0,3.0,3.0
8400,3,3,2,2,2,0,4.0,4.0,3.0,3.0
8460,3,4,3,3,2,0,2.0,3.0,1.0,3.0
8520,2,3,3,3,2,0,2.0,2.0,3.0,3.0
8580,4,3,3,3,2,0,4.0,4.0,4.0,3.0
8640,4,3,3,3,2,0,3.0,2.0,3.0,3.0
8700,3,1,3,3,2,0,1.0,3.0,3.0,3.0
8760,4,3,3,3,2,0,5.0,5.0,4.0,4.0
8820,4,3,3,2,2,0,2.0,2.0,2.0,2.0
8880,2,3,2,2,2,0,3.0,2.0,3.0,3.0
8940,4,3,3,2,2,0,4.0,5.0,3.0,4.0
9000,5,4,3,3,2,0,2.0,1.0,2.0,2.0
9060,2,2,3,2,2,0,4.0,2.0,3.0,3.0
9120,3,3,4,3,2,0,5.0,5.0,4.0,3.0
9180,5,5,2,4,2,0,2.0,2.0,1.0,2.0
9240,3,3,3,3,2,0,3.0,4.0,3.0,3.0
9300,4,3,2,3,2,0,4.0,5.0,3.0,4.0
9360,4,3,3,2,2,0,1.0,2.0,1.0,2.0
9420,3,3,3,3,2,0,3.0,3.0,3.0,3.0
9480,3,3,2,3,2,0,5.0,4.0,4.0,3.0
9540,4,4,3,3,2,0,2.0,2.0,2.0,2.0
9600,2,3,3,3,2,0,3.0,3.0,3.0,3.0
9660,3,3,3,3,2,0,5.0,5.0,4.0,4.0
9720,3,3,4,4,2,0,2.0,2.0,2.0,2.0
9780,3,2,2,3,2,0,1.0,2.0,4.0,3.0
9840,3,4,3,3,2,0,4.0,4.0,3.0,3.0
9900,3,3,2,3,2,0,2.0,2.0,2.0,1.0
9960,3,3,3,3,2,0,2.0,1.0,2.0,2.0
10020,3,3,2,2,2,0,4.0,5.0,3.0,4.0
10080,3,3,2,3,2,0,3.0,3.0,2.0,2.0
10140,3,2,3,3,2,0,0.0,2.0,2.0,2.0
10200,4,4,3,3,2,0,4.0,4.0,3.0,3.0
10260,2,3,1,3,2,0,3.0,3.0,3.0,3.0
10320,2,2,3,3,2,0,3.0,3.0,3.0,3.0
10380,4,4,4,3,2,0,2.0,4.0,2.0,3.0
10440,3,2,3,3,2,0,3.0,3.0,2.0,2.0
10500,1,3,3,3,2,0,4.0,3.0,3.0,3.0
10560,5,5,4,4,2,0,4.0,4.0,3.0,2.0
10620,2,2,2,2,2,0,2.0,3.0,3.0,3.0
10680,3,2,3,3,2,0,3.0,0.0,3.0,4.0
10740,4,5,3,4,2,0,4.0,4.0,3.0,2.0
10800,2,1,2,2,3,0,3.0,3.0,2.0,3.0
10860,4,2,3,3,3,0,0.0,3.0,3.0,3.0
10920,5,5,4,3,3,0,4.0,2.0,2.0,3.0
10980,2,2,1,2,3,0,3.0,3.0,2.0,3.0
11040,3,4,3,3,3,0,1.0,1.0,3.0,3.0
11100,4,5,3,4,3,0,3.0,2.0,1.0,2.0
11160,1,2,1,2,3,0,3.0,3.0,3.0,3.0
11220,3,3,3,3,3,0,0.0,1.0,4.0,4.0
11280,5,4,4,3,3,0,2.0,2.0,2.0,2.0
11340,2,2,2,2,3,0,3.0,3.0,2.0,2.0
11400,3,3,3,3,3,0,3.0,4.0,3.0,4.0
11460,5,5,4,4,3,0,2.0,2.0,2.0,1.0
11520,2,2,2,2,3,0,4.0,4.0,1.0,2.0
11580,1,2,4,3,3,0,0.0,3.0,4.0,3.0
11640,4,4,3,3,3,0,2.0,2.0,2.0,2.0
11700,2,2,2,1,3,0,4.0,4.0,4.0,3.0
11760,2,1,2,2,3,0,3.0,3.0,3.0,3.0
11820,4,5,3,4,3,0,2.0,2.0,2.0,2.0
11880,3,3,2,2,3,0,3.0,4.0,3.0,3.0
11940,0,2,2,2,3,0,3.0,3.0,3.0,3.0
12000,4,4,3,3,3,0,1.0,1.0,2.0,2.0
12060,3,3,3,3,3,0,3.0,4.0,3.0,4.0
12120,3,3,3,3,3,0,2.0,3.0,3.0,4.0
12180,2,4,2,3,3,0,3.0,2.0,2.0,1.0
12240,3,3,2,2,3,0,4.0,2.0,2.0,4.0
12300,4,3,3,3,3,0,1.0,2.0,3.0,3.0
12360,4,4,3,2,3,0,2.0,2.0,2.0,2.0
12420,2,3,3,3,3,0,4.0,3.0,4.0,3.0
12480,3,0,3,4,3,0,2.0,2.0,3.0,3.0
12540,4,4,3,2,3,0,3.0,3.0,3.0,3.0
12600,3,3,2,3,3,0,3.0,2.0,3.0,3.0
12660,0,3,3,3,3,0,3.0,1.0,3.0,3.0
12720,4,2,2,3,3,0,3.0,3.0,2.0,3.0
12780,3,3,2,3,3,0,2.0,3.0,3.0,3.0
12840,1,1,3,3,3,0,3.0,2.0,3.0,3.0
12900,3,2,1,2,3,0,2.0,3.0,3.0,3.0
12960,3,3,3,3,3,0,2.0,3.0,3.0,3.0
13020,0,1,4,4,3,0,3.0,3.0,3.0,3.0
13080,2,2,2,2,3,0,3.0,4.0,2.0,4.0
13140,3,3,2,2,3,0,3.0,3.0,3.0,3.0
13200,3,4,3,4,3,0,2.0,2.0,3.0,3.0
13260,2,2,2,1,3,0,3.0,2.0,4.0,4.0
13320,4,4,1,2,3,0,3.0,3.0,3.0,2.0
13380,0,3,4,3,3,0,2.0,4.0,3.0,3.0
13440,2,2,2,2,3,0,4.0,4.0,3.0,4.0
13500,4,4,4,3,3,0,2.0,1.0,2.0,2.0
13560,3,3,3,3,3,0,1.0,2.0,3.0,4.0
13620,2,2,2,2,3,0,4.0,4.0,3.0,4.0
13680,3,4,3,3,3,0,3.0,2.0,1.0,1.0
13740,3,3,3,3,3,0,1.0,2.0,2.0,3.0
13800,1,1,2,2,3,0,4.0,4.0,3.0,3.0
13860,3,4,3,4,3,0,3.0,3.0,3.0,2.0
13920,2,3,3,4,3,0,2.0,2.0,3.0,3.0
13980,3,2,2,1,3,0,4.0,4.0,3.0,3.0
14040,4,2,2,4,3,0,3.0,3.0,2.0,2.0
14100,1,2,3,3,3,0,2.0,3.0,2.0,3.0
14160,2,2,2,2,3,0,3.0,3.0,4.0,3.0
14220,4,3,4,3,3,0,3.0,3.0,3.0,3.0
14280,2,2,3,3,3,0,2.0,3.0,3.0,4.0
14340,3,3,3,3,3,0,3.0,3.0,4.0,3.0
14400,3,2,3,3,4,0,3.0,2.0,2.0,3.0
14460,3,1,3,3,4,0,3.0,2.0,3.0,4.0
14520,3,3,2,3,4,0,3.0,3.0,3.0,2.0
14580,2,3,3,3,4,0,2.0,2.0,2.0,3.0
14640,3,2,3,3,4,0,3.0,2.0,3.0,4.0
14700,2,3,3,3,4,0,3.0,3.0,3.0,3.0
14760,2,3,3,3,4,0,2.0,3.0,2.0,3.0
14820,3,3,3,3,4,0,3.0,3.0,5.0,4.0
14880,3,4,2,4,4,0,3.0,3.0,2.0,2.0
14940,3,3,3,3,4,0,3.0,3.0,3.0,2.0
15000,2,2,3,3,4,0,3.0,3.0,3.0,3.0
15060,3,2,4,4,4,0,2.0,2.0,2.0,1.0
15120,3,3,3,2,4,0,2.0,3.0,3.0,3.0
15180,2,4,3,3,4,0,4.0,3.0,5.0,5.0
15240,4,4,3,4,4,0,2.0,2.0,1.0,1.0
15300,2,1,2,2,4,0,3.0,4.0,2.0,3.0
15360,1,2,3,4,4,0,3.0,4.0,4.0,4.0
15420,4,4,3,4,4,0,2.0,2.0,1.0,1.0
15480,3,2,1,1,4,0,3.0,3.0,2.0,2.0
15540,1,2,2,3,4,0,3.0,4.0,5.0,5.0
15600,4,4,3,3,4,0,2.0,2.0,2.0,1.0
15660,3,3,3,2,4,0,3.0,2.0,2.0,3.0
15720,2,2,3,3,4,0,4.0,3.0,5.0,5.0
15780,4,4,3,3,4,0,2.0,2.0,1.0,2.0
15840,3,3,2,2,4,0,3.0,2.0,3.0,3.0
15900,2,3,2,3,4,0,4.0,2.0,5.0,5.0
15960,3,3,4,3,4,0,2.0,2.0,2.0,2.0
16020,3,3,3,3,4,0,3.0,2.0,3.0,3.0
16080,2,3,3,4,4,0,3.0,4.0,4.0,5.0
16140,3,3,4,3,4,0,2.0,2.0,1.0,3.0
16200,3,2,2,3,4,0,6.0,8.0,5.0,4.0
16260,3,2,3,4,4,0,4.0,4.0,7.0,8.0
16320,3,3,3,2,4,0,6.0,7.0,3.0,7.0
16380,2,2,2,3,4,0,4.0,7.0,5.0,3.0
16440,3,2,3,4,4,0,2.0,6.0,6.0,6.0
16500,3,3,3,3,4,0,2.0,2.0,2.0,0.0
16560,2,3,2,3,4,0,5.0,4.0,7.0,9.0
16620,3,3,5,4,4,0,4.0,4.0,8.0,7.0
16680,3,3,2,2,4,0,6.0,6.0,6.0,5.0
16740,3,3,3,2,4,0,6.0,6.0,3.0,4.0
16800,3,3,3,3,4,0,2.0,6.0,7.0,7.0
16860,2,2,2,1,4,0,7.0,6.0,5.0,5.0
16920,2,3,3,3,4,0,6.0,7.0,6.0,5.0
16980,4,3,5,5,4,0,5.0,4.0,7.0,7.0
17040,2,2,1,1,4,0,6.0,8.0,4.0,5.0
17100,3,4,2,3,4,0,8.0,6.0,5.0,4.0
17160,3,4,4,4,4,0,5.0,5.0,6.0,7.0
17220,2,2,1,1,4,0,5.0,5.0,5.0,6.0
17280,3,3,2,2,4,0,5.0,6.0,4.0,3.0
17340,3,4,5,5,4,0,5.0,5.0,7.0,7.0
17400,2,2,2,1,4,0,8.0,7.0,1.0,6.0
17460,3,2,2,3,4,0,5.0,5.0,5.0,5.0
17520,4,3,5,5,4,0,6.0,5.0,8.0,9.0
17580,2,2,1,2,4,0,6.0,5.0,4.0,4.0
17640,3,2,3,3,4,0,4.0,5.0,6.0,6.0
17700,4,2,5,5,4,0,4.0,5.0,6.0,7.0
17760,2,2,2,2,4,0,9.0,8.0,6.0,4.0
17820,3,2,3,3,4,0,5.0,5.0,7.0,5.0
17880,3,4,4,5,4,0,5.0,7.0,6.0,8.0
17940,2,2,1,3,4,0,7.0,6.0,6.0,5.0
18000,6,8,5,4,5,0,7.0,5.0,5.0,6.0
18060,4,4,7,8,5,0,7.0,5.0,6.0,8.0
18120,6,7,3,7,5,0,5.0,5.0,3.0,5.0
18180,4,7,5,3,5,0,5.0,6.0,6.0,1.0
18240,2,6,6,6,5,0,6.0,1.0,8.0,9.0
18300,2,2,2,0,5,0,7.0,8.0,5.0,4.0
18360,5,4,7,9,5,0,6.0,8.0,6.0,4.0
18420,4,4,8,7,5,0,6.0,5.0,8.0,7.0
18480,6,6,6,5,5,0,6.0,6.0,1.0,2.0
18540,6,6,3,4,5,0,4.0,7.0,3.0,6.0
18600,2,6,7,7,5,0,3.0,1.0,7.0,7.0
18660,7,6,5,5,5,0,8.0,8.0,1.0,5.0
18720,6,7,6,5,5,0,6.0,7.0,6.0,6.0
18780,5,4,7,7,5,0,7.0,5.0,8.0,7.0
18840,6,8,4,5,5,0,7.0,7.0,6.0,2.0
18900,8,6,5,4,5,0,6.0,7.0,6.0,4.0
18960,5,5,6,7,5,0,6.0,4.0,6.0,7.0
19020,5,5,5,6,5,0,7.0,5.0,3.0,7.0
19080,5,6,4,3,5,0,6.0,5.0,5.0,5.0
19140,5,5,7,7,5,0,6.0,5.0,7.0,7.0
19200,8,7,1,6,5,0,7.0,7.0,3.0,6.0
19260,5,5,5,5,5,0,6.0,7.0,5.0,2.0
19320,6,5,8,9,5,0,4.0,3.0,8.0,6.0
19380,6,5,4,4,5,0,5.0,7.0,4.0,3.0
19440,4,5,6,6,5,0,4.0,6.0,5.0,5.0
19500,4,5,6,7,5,0,3.0,1.0,8.0,7.0
19560,9,8,6,4,5,0,7.0,7.0,4.0,7.0
19620,5,5,7,5,5,0,7.0,5.0,5.0,5.0
19680,5,7,6,8,5,0,3.0,2.0,8.0,8.0
19740,7,6,6,5,5,0,7.0,7.0,5.0,5.0
19800,7,5,5,6,5,0,7.0,5.0,5.0,6.0
19860,7,5,6,8,5,0,6.0,5.0,8.0,6.0
19920,5,5,3,5,5,0,3.0,7.0,0.0,5.0
19980,5,6,6,1,5,0,3.0,5.0,4.0,4.0
20040,6,1,8,9,5,0,3.0,6.0,8.0,8.0
20100,7,8,5,4,5,0,6.0,7.0,6.0,4.0
20160,6,8,6,4,5,0,6.0,6.0,6.0,5.0
20220,6,5,8,7,5,0,2.0,5.0,8.0,7.0
20280,6,6,1,2,5,0,7.0,6.0,4.0,5.0
20340,4,7,3,6,5,0,6.0,6.0,1.0,6.0
20400,3,1,7,7,5,0,2.0,4.0,9.0,7.0
20460,8,8,1,5,5,0,8.0,7.0,4.0,4.0
20520,6,7,6,6,5,0,9.0,6.0,5.0,5.0
20580,7,5,8,7,5,0,6.0,7.0,8.0,7.0
20640,7,7,6,2,5,0,6.0,6.0,3.0,3.0
20700,6,7,6,4,5,0,6.0,7.0,6.0,6.0
20760,6,4,6,7,5,0,4.0,0.0,7.0,6.0
20820,7,5,3,7,5,0,7.0,7.0,0.0,0.0
20880,6,5,5,5,5,0,7.0,7.0,5.0,4.0
20940,6,5,7,7,5,0,5.0,5.0,8.0,7.0
21000,7,7,3,6,5,0,5.0,6.0,2.0,3.0
21060,6,7,5,2,5,0,7.0,7.0,8.0,6.0
21120,4,3,8,6,5,0,5.0,6.0,6.0,6.0
21180,5,7,4,3,5,0,4.0,4.0,5.0,4.0
21240,4,6,5,5,5,0,4.0,4.0,6.0,5.0
21300,3,1,8,7,5,0,5.0,3.0,8.0,7.0
21360,7,7,4,7,5,0,8.0,8.0,4.0,5.0
21420,7,5,5,5,5,0,5.0,5.0,2.0,3.0
21480,3,2,8,8,5,0,7.0,4.0,7.0,7.0
21540,7,7,5,5,5,0,5.0,6.0,3.0,5.0
21600,7,5,5,6,6,0,7.0,6.0,6.0,5.0
21660,6,5,8,6,6,0,6.0,0.0,8.0,9.0
21720,3,7,0,5,6,0,7.0,8.0,4.0,5.0
21780,3,5,4,4,6,0,7.0,5.0,4.0,6.0
21840,3,6,8,8,6,0,6.0,5.0,8.0,7.0
21900,6,7,6,4,6,0,6.0,8.0,6.0,5.0
21960,6,6,6,5,6,0,4.0,4.0,4.0,5.0
22020,2,5,8,7,6,0,5.0,5.0,6.0,6.0
22080,7,6,4,5,6,0,6.0,6.0,0.0,1.0
22140,6,6,1,6,6,0,6.0,6.0,6.0,6.0
22200,2,4,9,7,6,0,4.0,5.0,7.0,7.0
22260,8,7,4,4,6,0,5.0,6.0,4.0,3.0
22320,9,6,5,5,6,0,8.0,6.0,4.0,5.0
22380,6,7,8,7,6,0,6.0,4.0,7.0,6.0
22440,6,6,3,3,6,0,5.0,5.0,3.0,4.0
22500,6,7,6,6,6,0,8.0,7.0,0.0,1.0
22560,4,0,7,6,6,0,4.0,5.0,9.0,8.0
22620,7,7,0,0,6,0,7.0,7.0,3.0,5.0
22680,7,7,5,4,6,0,4.0,6.0,6.0,4.0
22740,5,5,8,7,6,0,6.0,5.0,7.0,6.0
22800,5,6,2,3,6,0,6.0,6.0,3.0,4.0
22860,7,7,8,6,6,0,5.0,7.0,5.0,7.0
22920,5,6,6,6,6,0,1.0,3.0,7.0,7.0
22980,4,4,5,4,6,0,7.0,8.0,4.0,5.0
23040,4,4,6,5,6,0,8.0,6.0,6.0,4.0
23100,5,3,8,7,6,0,6.0,5.0,7.0,8.0
23160,8,8,4,5,6,0,6.0,5.0,4.0,4.0
23220,5,5,2,3,6,0,7.0,6.0,3.0,4.0
23280,7,4,7,7,6,0,2.0,5.0,6.0,6.0
23340,5,6,3,5,6,0,4.0,7.0,5.0,5.0
23400,7,6,6,5,6,0,4.0,8.0,9.0,7.0
23460,6,0,8,9,6,0,7.0,4.0,8.0,9.0
23520,7,8,4,5,6,0,5.0,7.0,0.0,7.0
23580,7,5,4,6,6,0,6.0,7.0,8.0,9.0
23640,6,5,8,7,6,0,3.0,7.0,9.0,10.0
23700,6,8,6,5,6,0,12.0,8.0,4.0,6.0
23760,4,4,4,5,6,0,5.0,9.0,6.0,7.0
23820,5,5,6,6,6,0,5.0,6.0,8.0,9.0
23880,6,6,0,1,6,0,5.0,7.0,1.0,7.0
23940,6,6,6,6,6,0,5.0,6.0,5.0,3.0
24000,4,5,7,7,6,0,1.0,3.0,10.0,8.0
24060,5,6,4,3,6,0,9.0,7.0,0.0,5.0
24120,8,6,4,5,6,0,9.0,9.0,6.0,5.0
24180,6,4,7,6,6,0,9.0,7.0,10.0,10.0
24240,5,5,3,4,6,0,8.0,7.0,4.0,6.0
24300,8,7,0,1,6,0,8.0,7.0,5.0,5.0
24360,4,5,9,8,6,0,4.0,0.0,8.0,9.0
24420,7,7,3,5,6,0,10.0,10.0,4.0,8.0
24480,4,6,6,4,6,0,6.0,7.0,6.0,9.0
24540,6,5,7,6,6,0,4.0,6.0,9.0,9.0
24600,6,6,3,4,6,0,9.0,6.0,7.0,7.0
24660,5,7,5,7,6,0,5.0,8.0,4.0,4.0
24720,1,3,7,7,6,0,6.0,6.0,9.0,8.0
24780,7,8,4,5,6,0,9.0,6.0,7.0,4.0
24840,8,6,6,4,6,0,9.0,5.0,6.0,7.0
24900,6,5,7,8,6,0,7.0,6.0,7.0,8.0
24960,6,5,4,4,6,0,8.0,4.0,6.0,1.0
25020,7,6,3,4,6,0,9.0,9.0,6.0,5.0
25080,2,5,6,6,6,0,7.0,5.0,9.0,7.0
25140,4,7,5,5,6,0,10.0,7.0,2.0,0.0
25200,4,8,9,7,7,0,6.0,4.0,3.0,0.0
25260,7,4,8,9,7,0,8.0,5.0,10.0,10.0
25320,5,7,0,7,7,0,8.0,7.0,4.0,0.0
25380,6,7,8,9,7,0,7.0,8.0,5.0,4.0
25440,3,7,9,10,7,0,5.0,3.0,10.0,11.0
25500,12,8,4,6,7,0,9.0,10.0,1.0,0.0
25560,5,9,6,7,7,0,5.0,7.0,3.0,9.0
25620,5,6,8,9,7,0,6.0,1.0,10.0,9.0
25680,5,7,1,7,7,0,7.0,7.0,4.0,5.0
25740,5,6,5,3,7,0,8.0,7.0,3.0,5.0
25800,1,3,10,8,7,0,1.0,7.0,11.0,10.0
25860,9,7,0,5,7,0,8.0,10.0,9.0,1.0
25920,9,9,6,5,7,0,7.0,9.0,4.0,6.0
25980,9,7,10,10,7,0,6.0,2.0,12.0,8.0
26040,8,7,4,6,7,0,9.0,7.0,6.0,6.0
26100,8,7,5,5,7,0,7.0,7.0,5.0,4.0
26160,4,0,8,9,7,0,0.0,1.0,10.0,13.0
26220,10,10,4,8,7,0,6.0,4.0,8.0,6.0
26280,6,7,6,9,7,0,4.0,8.0,6.0,11.0
26340,4,6,9,9,7,0,7.0,7.0,10.0,10.0
26400,9,6,7,7,7,0,10.0,9.0,0.0,6.0
26460,5,8,4,4,7,0,9.0,8.0,8.0,5.0
26520,6,6,9,8,7,0,8.0,0.0,9.0,10.0
26580,9,6,7,4,7,0,9.0,7.0,6.0,0.0
26640,9,5,6,7,7,0,9.0,7.0,5.0,5.0
26700,7,6,7,8,7,0,3.0,5.0,11.0,5.0
26760,8,4,6,1,7,0,7.0,9.0,0.0,5.0
26820,9,9,6,5,7,0,5.0,9.0,5.0,5.0
26880,7,5,9,7,7,0,6.0,6.0,11.0,9.0
